iter	AUC	Logloss
0	0.663433348	0.6457283461
1	0.7815395243	0.5927148178
2	0.8110616826	0.5553239615
3	0.8117309182	0.5263864813
4	0.8173930502	0.4968627531
5	0.819180478	0.4739041671
6	0.8247065035	0.4550094624
7	0.8359465952	0.4396645936
8	0.8362381981	0.4278422093
9	0.8375658313	0.4206997365
10	0.8385996675	0.4120406584
11	0.8398733867	0.4048850348
12	0.8455305897	0.3991222312
13	0.8453578873	0.3941584121
14	0.8464937549	0.3901501795
15	0.8469588154	0.3867273075
16	0.848584991	0.3831160678
17	0.8513997951	0.379645139
18	0.8519733366	0.3773716057
19	0.8540893713	0.3745544298
20	0.8553969309	0.3717787403
21	0.8571789193	0.3694136941
22	0.8579158255	0.3677690536
23	0.8581012945	0.366512081
24	0.8587589268	0.3649554642
25	0.859260287	0.3638025169
26	0.8595226623	0.3628742782
27	0.8600420756	0.3617120715
28	0.8608553981	0.3603131689
29	0.8617681498	0.3591844391
30	0.8621611004	0.358346808
31	0.8627613081	0.3573221305
32	0.8632526162	0.3566383659
33	0.8632546471	0.3561482059
34	0.8636160841	0.3553032378
35	0.8640562847	0.3546569114
36	0.864303444	0.3542332858
37	0.8647144476	0.3536319455
38	0.8652354631	0.3529931825
39	0.8654753461	0.3525224266
40	0.8656751432	0.3520380104
41	0.8659299259	0.3512862019
42	0.8664501249	0.3506491002
43	0.8667408196	0.3501646359
44	0.8668496068	0.3498361388
45	0.8674519576	0.3492641529
46	0.8680063542	0.3486103578
47	0.8683761799	0.3481600606
48	0.8686724058	0.3478012163
49	0.8691507942	0.3473154818
50	0.8694097201	0.3469475532
51	0.8696000672	0.3466992882
52	0.869913897	0.3462666357
53	0.8700700874	0.3460268071
54	0.8704557821	0.3456350365
55	0.8708700513	0.3451940965
56	0.8711856569	0.3448987008
57	0.8714516142	0.3445980341
58	0.871666321	0.3443968457
59	0.8718113775	0.3441605115
60	0.8719800488	0.343968377
61	0.8720949081	0.3436877399
62	0.8723347708	0.3432956923
63	0.8724874097	0.3430817635
64	0.8727054537	0.3428319297
65	0.87288333	0.3425923463
66	0.8731958944	0.342355213
67	0.8733332154	0.3421507453
68	0.8735754252	0.3418766927
69	0.8737660172	0.3416597155
70	0.8740531809	0.3412631014
71	0.8741162183	0.3411195487
72	0.8743252001	0.3408237954
73	0.8745225683	0.3406053976
74	0.874765268	0.3403081262
75	0.8749422055	0.3401316158
76	0.8751088153	0.3398584869
77	0.8753051018	0.3396033608
78	0.8753950707	0.3395066817
79	0.8755769271	0.3392176223
80	0.8758312811	0.3389723848
81	0.876026343	0.3386542834
82	0.876052754	0.338638486
83	0.8762467954	0.3384578956
84	0.8764623289	0.338249542
85	0.8766854346	0.3379818236
86	0.8767731584	0.3378840247
87	0.8769827116	0.3376849393
88	0.8770009789	0.3376333846
89	0.8772561493	0.3373223307
90	0.8772702121	0.3372820545
91	0.8774196772	0.3370976081
92	0.8775771636	0.336940443
93	0.8777499169	0.3367603902
94	0.8781273251	0.3363846538
95	0.8784659127	0.3361002238
96	0.8787085715	0.3357898558
97	0.8790952868	0.3353774478
98	0.8793377823	0.3350774251
99	0.879430874	0.3349246024
100	0.8797440711	0.3345696196
101	0.8798131806	0.3344917696
102	0.8798176097	0.3344786199
103	0.8799917714	0.3342851416
104	0.8801641165	0.3340295907
105	0.8804371664	0.3337657633
106	0.880647332	0.3335407722
107	0.8809329342	0.3332744942
108	0.8809598147	0.3332453687
109	0.8811928603	0.3329959626
110	0.8814845244	0.3326465217
111	0.8816213351	0.3324558294
112	0.8817581867	0.3322713765
113	0.8818417875	0.3321647913
114	0.8818783221	0.3321210083
115	0.8819790677	0.3319848248
116	0.8821894986	0.3317620632
117	0.8823312486	0.3316269547
118	0.8824195438	0.3315409917
119	0.882654957	0.3312874576
120	0.8827053502	0.3312178082
121	0.8827610093	0.3311284466
122	0.8829309868	0.3309354568
123	0.8831004133	0.3307780504
124	0.883178238	0.3307066906
125	0.8834359189	0.3304232693
126	0.8835143968	0.3302898578
127	0.8837504223	0.3300486181
128	0.8839429124	0.3297862387
129	0.8839571997	0.3297768173
130	0.8840433927	0.3295884954
131	0.8842246776	0.3293863435
132	0.884421107	0.3291728714
133	0.8844335369	0.3291550924
134	0.884595289	0.3289798028
135	0.8848043116	0.3287348342
136	0.8848956276	0.3286044292
137	0.8849158747	0.32858573
138	0.8849746974	0.3284859989
139	0.8850888526	0.3283645714
140	0.8851649628	0.3283027397
141	0.8851901084	0.3282736179
142	0.8852225813	0.3282237019
143	0.8852715458	0.3281737859
144	0.8854842422	0.3278403588
145	0.8855912538	0.327728427
146	0.8856482599	0.3276444704
147	0.8858582418	0.3273937751
148	0.8859978487	0.3271817349
149	0.8860671011	0.3270909401
150	0.8862660205	0.3268711803
151	0.8863861355	0.3267305748
152	0.8864089952	0.3266936151
153	0.8866862904	0.3264218429
154	0.8868014865	0.3262970801
155	0.8869091104	0.3261743661
156	0.8871698529	0.3258641657
157	0.8873170524	0.325719221
158	0.8874047354	0.3255889043
159	0.8877511197	0.3251665989
160	0.8878904409	0.3250028191
161	0.8879433446	0.3249265862
162	0.8881129343	0.3247703499
163	0.8882553579	0.3246068464
164	0.8884340302	0.3243799184
165	0.8886459103	0.32413725
166	0.888791477	0.3239652089
167	0.8889888044	0.3237232672
168	0.8893639674	0.323346016
169	0.8896007481	0.3230395644
170	0.8898118729	0.3228314033
171	0.8898618579	0.3227730994
172	0.8899807279	0.3225786589
173	0.8901118441	0.3224231959
174	0.8903731785	0.3221113089
175	0.890428164	0.3220222284
176	0.8904792512	0.3219533941
8911940823	0.3198748252
178	0.8912379325	0.3198044105
179	0.8912893973	0.3197444489
180	0.8914421995	0.3195667985
181	0.8915916742	0.3194360983
182	0.8916235615	0.3193980261
183	0.8917330443	0.3192829706
184	0.8918770274	0.3191377821
185	0.8919584607	0.3190856539
186	0.8922218888	0.3188206095
187	0.8924335458	0.3184489628
188	0.8925348832	0.3183135308
189	0.8926061705	0.3182264827
190	0.892736333	0.3180879196
191	0.8929782443	0.3177709708
192	0.8930114586	0.3177280768
193	0.8931453979	0.3175543336
194	0.8931771832	0.3175026547
195	0.8932284235	0.317428099
196	0.8933237385	0.3172884256
197	0.8935411933	0.317045342
198	0.8936007423	0.3169479157
199	0.8937139608	0.316845591
200	0.8937997015	0.3167742563
201	0.8938127668	0.3167585258
202	0.8938379378	0.3167299594
203	0.893933702	0.3166299997
204	0.8939445217	0.3166066956
205	0.8939620577	0.3165904716
206	0.8939816556	0.3165631332
207	0.8942666822	0.3162727958
208	0.8942702547	0.3162565173
209	0.8943334783	0.3161768708
421
210	0.8949948454	0.3159203219
211	0.895107574	0.3157973862
212	0.8952636833	0.315569898
213	0.8954811789	0.3153309283
214	0.895533644	0.3152628389
215	0.8958042172	0.3149355272
216	0.895950548	0.3147430682
217	0.8959743309	0.3147191711
218	0.8961598983	0.3144470691
219	0.8962234076	0.3143259042
220	0.8963843348	0.314103448
221	0.8963934804	0.3140795964
222	0.8964003397	0.3140752564
223	0.8965608586	0.3138208056
224	0.8967781092	0.3136268353
225	0.8967863974	0.3136118204
226	0.8968463547	0.3135506582
227	0.896953306	0.3133357734
228	0.8969886026	0.3132475225
229	0.8972555624	0.3129163529
230	0.8974688731	0.3126800648
231	0.8974871644	0.3126479791
232	0.8977653522	0.3123845521
233	0.8978516237	0.3122809851
234	0.8978785503	0.3122442176
235	0.898096148	0.3120181718
236	0.8982306384	0.3118466145
237	0.8984314758	0.3115610307
238	0.8984861661	0.3114904428
239	0.8985351404	0.3113834694
240	0.8986807159	0.3111747811
241	0.8986931891	0.3111534912
242	0.8988876368	0.3109373349
243	0.8991107464	0.3106560487
244	0.8992403986	0.3104535149
245	0.8994125333	0.3102344373
246	0.8994809217	0.3101599535
247	0.8995684997	0.3100334732
248	0.8995758693	0.3100026022
249	0.899729141	0.3097716931
250	0.8998762067	0.3095372119
251	0.8998783911	0.309534352
252	0.9000732675	0.3092634729
253	0.9001404923	0.3091842195
254	0.9001540271	0.3091681268
255	0.9003349808	0.3089603168
256	0.9003587432	0.3089340515
257	0.9003626015	0.3089286713
258	0.9004971736	0.3087310958
259	0.9005642147	0.3086232704
260	0.9006733708	0.3084668689
261	0.9003456984	0.3085660257
262	0.9004938665	0.3083880566
263	0.900700175	0.3082238956
264	0.9008342163	0.308090023
265	0.9008914788	0.3080036408
266	0.9009574787	0.3079310928
267	0.9010492621	0.3078179811
268	0.9011806495	0.3076404556
269	0.9012345437	0.3075485332
270	0.9012834159	0.307437733
271	0.9013462312	0.3073464139
272	0.901373954	0.3073146542
273	0.9014908472	0.3072024318
274	0.9016464461	0.3070131465
275	0.901740618	0.3068771411
276	0.9017945326	0.306803946
277	0.9019291455	0.3066160419
278	0.9020179892	0.3064839143
279	0.9021654632	0.3063004066
280	0.9022812132	0.3061519661
281	0.9022883787	0.3061177879
282	0.9023192249	0.306054871
283	0.9025097734	0.3058248423
284	0.9025971881	0.3057032141
285	0.9027801016	0.305469388
286	0.9029797142	0.3052502083
287	0.903089401	0.3051390886
288	0.9031412741	0.305050139
289	0.9031493583	0.3050365525
290	0.903202048	0.3049812722
291	0.9032362626	0.3049348977
292	0.9032592084	0.3049009826
293	0.9032950154	0.3048478987
294	0.9034536561	0.3046754031
295	0.9035885753	0.3045129262
296	0.9038326505	0.3042492739
297	0.9038963232	0.3041377127
298	0.9041939251	0.3038130737
299	0.9043734294	0.3035729337
300	0.9044100733	0.3035083509
301	0.9044503102	0.3034568918
302	0.9045121048	0.3033527162
303	0.9045300695	0.3033282916
304	0.9045493815	0.3033045704
0.2997374456
306	0.9068077088	0.299619948
307	0.9068500808	0.2995732042
308	0.906956378	0.2994384743
309	0.9070088122	0.2993934163
310	0.9072155488	0.2991372453
311	0.9072161407	0.2991336185
312	0.9072455316	0.2991047019
313	0.9073107428	0.2990005643
314	0.907329357	0.2989706336
315	0.9073515431	0.29892069
316	0.9073971807	0.2988587557
775784	0.3045496161
317	0.9044501072	0.3043122465
318	0.9045836727	0.30416507
319	0.9047348115	0.3039117396
320	0.9047903481	0.3038313003
321	0.9048973392	0.3036789008
322	0.9050068	0.3035123053
323	0.9050502129	0.3034569941
