iter	Passed	Remaining
0	433	216099
1	1009	251417
2	1614	267459
3	2059	255363
4	2643	261658
5	3220	265136
6	3757	264647
7	4182	257218
8	4690	255878
9	5073	248625
10	5503	244649
11	5964	242560
12	6366	238487
13	6784	235508
14	7232	233849
15	7663	231810
16	8200	232976
17	8639	231355
18	9066	229525
19	9544	229068
20	10124	230943
21	10812	234925
22	11392	236262
23	11857	235182
24	12359	234837
25	12785	233089
26	13381	234419
27	13901	234344
28	14413	234102
29	15013	235214
30	15483	234251
31	16022	234335
32	16364	231588
33	16743	229480
34	17115	227389
35	17583	226629
36	18086	226320
37	18548	225509
38	18999	224583
39	19444	223610
40	19989	223779
41	20496	223506
42	20952	222685
43	21479	222603
44	21923	221669
45	22240	219503
46	22545	217304
47	22996	216552
48	23329	214722
49	23670	213034
50	24064	211857
51	24432	210499
52	24730	208574
53	25119	207471
54	25532	206577
55	25958	205813
56	26380	205029
57	26766	203981
58	27222	203478
59	27737	203410
60	28140	202519
61	28514	201440
62	29013	201255
63	29334	199843
64	29698	198753
65	30112	198014
66	30556	197476
67	30956	196667
68	31432	196340
69	31889	195893
70	32432	195962
71	32846	195254
72	33420	195489
73	33895	195130
74	34371	194770
75	34877	194579
76	35356	194232
77	35870	194068
78	36203	192930
79	36698	192668
80	37164	192244
81	37808	192733
82	38010	190970
83	38423	190289
84	38838	189625
85	39275	189069
86	39617	188069
87	40027	187402
88	40615	187560
89	41177	187586
90	41478	186423
91	41918	185899
92	42327	185239
93	42768	184725
94	43285	184531
95	43698	183895
96	44149	183426
97	44482	182467
98	44871	181752
99	45166	180667
100	45527	179856
101	45876	179006
102	46082	177617
103	46425	176774
104	46862	176292
105	47316	175873
106	47936	176066
107	48442	175828
108	48679	174619
109	49176	174353
110	49683	174115
111	50224	173991
112	50673	173545
113	51029	172784
114	51183	171352
115	51562	170690
116	51962	170100
117	52166	168876
118	52445	167913
119	52919	167578
120	53099	166319
121	53489	165728
122	53817	164953
123	54102	164052
124	54411	163233
125	54808	162685
126	55115	161875
127	55487	161259
128	55839	160593
129	55975	159313
130	56434	158963
131	56884	158588
132	57222	157900
133	57343	156625
134	57700	156005
135	58011	155265
136	58338	154575
137	58517	153502
138	58888	152940
139	59147	152094
140	59475	151431
141	59824	150824
142	60109	150062
143	60399	149320
144	60866	149018
145	61273	148567
146	61611	147951
147	62052	147585
148	62416	147035
149	62902	146772
150	63277	146250
151	63635	145691
152	63945	145026
153	64364	144610
154	64745	144110
155	65150	143664
156	65563	143238
157	65903	142651
158	66284	142156
159	66636	141602
160	67030	141139
161	67358	140539
162	67736	140043
163	68053	139425
164	68389	138850
165	68729	138286
166	69277	138139
167	69814	137967
168	70221	137534
169	70711	137264
170	71226	137038
171	71766	136857
172	72224	136517
173	72720	136246
174	73138	135828
175	73600	135492
176	73999	135037
77	71735	129768
178	72137	129364
179	72423	128752
180	72860	128411
181	73216	127927
182	73665	127605
183	74045	127164
184	74380	126647
185	74689	126088
186	75072	125656
187	75447	125210
188	75756	124657
189	76045	124073
190	76501	123764
191	76867	123308
192	77109	122656
193	77541	122307
194	77896	121837
195	78209	121305
196	78612	120910
197	78993	120485
198	79208	119807
199	79734	119601
200	80063	119098
201	80352	118539
202	80621	117953
203	81043	117591
204	81177	116815
205	81501	116317
206	81795	115777
207	82159	115339
208	82364	114680
209	82731	114247
210	88290	120928
211	88667	120454
212	89179	120162
213	89497	119608
214	89783	119015
215	90237	118645
216	90649	118220
217	90971	117679
218	91330	117187
219	91730	116747
220	92096	116266
221	92442	115761
222	92658	115096
223	92993	114580
224	93311	114047
225	93619	113503
226	94040	113096
227	94505	112743
228	95007	112432
229	95459	112061
230	95850	111618
231	96193	111120
232	96567	110658
233	97079	110355
234	97487	109932
235	97956	109578
236	98426	109224
237	98917	108892
238	99295	108435
239	99745	108057
240	100100	107576
241	100473	107116
242	100915	106729
243	101311	106293
244	101732	105884
245	102228	105552
246	102690	105185
247	103090	104752
248	103339	104169
249	103796	103796
250	104149	103320
251	104354	102698
252	104740	102256
253	105142	101830
254	105462	101326
255	105901	100937
256	106223	100436
257	106483	99880
258	106867	99440
259	107229	98980
260	107699	98621
084
262	106058	95574
263	106568	95266
264	106990	94878
265	107545	94607
266	107985	94234
267	108346	93792
268	108909	93524
269	109331	93134
270	109796	92779
271	110296	92454
272	110617	91978
273	111009	91562
274	111414	91157
275	111836	90765
276	112301	90408
277	112745	90034
278	113227	89689
279	113640	89288
280	114046	88882
281	114464	88486
282	114912	88113
283	115424	87787
284	115874	87413
285	116363	87068
286	116765	86658
287	117200	86272
288	117614	85871
289	117841	85333
290	118207	84897
291	118667	84530
292	119045	84103
293	119524	83748
294	119826	83269
295	120297	82907
296	120735	82523
297	121134	82111
298	121492	81672
299	121829	81219
300	122200	80790
301	122582	80368
302	122987	79962
303	123328	79514
304	123793	79146
05	122334	77558
306	122782	77188
307	122966	76654
308	123306	76218
309	123578	75741
310	123978	75343
311	124215	74847
312	124471	74364
313	124863	73963
314	125241	73554
315	125669	73174
316	126119	72807
52
318	125200	71038
319	125675	70692
320	125999	70261
321	126423	69886
322	126868	69522
323	127219	69107
324	127757	68792
325	128102	68373
326	128581	68026
327	129167	67734
328	129636	67379
329	130105	67024
330	130509	66634
331	131038	66308
332	131494	65944
	65073
334	131446	64742
335	131829	64345
336	132276	63979
337	132719	63611
338	133312	63313
339	133724	62929
340	134120	62536
341	134451	621
